場合	ばあい	baai
設置	せっち	secchi
本文	ほんぶん|ほんもん	honnbunn|honnmonn
子供	こども	kodomo
非常	ひじょう	hijou
結果	けっか	kekka
仕方	しかた	shikata
送信	そうしん	soushinn
心配	しんぱい	shinnpai
案内	あんない	annnai
重要	じゅうよう	juuyou
過去	かこ	kako
運営	うんえい	unnei
転職	てんしょく	tennshoku
東京	とうきょう	toukyou
作品	さくひん	sakuhinn
編集	へんしゅう	hennshuu
協力	きょうりょく	kyouryoku
勉強	べんきょう	bennkyou
何度	なんど	nanndo
健康	けんこう	kennkou
開発	かいはつ	kaihatsu
経験	けいけん	keikenn
移動	いどう	idou
最後	さいご	saigo
動画	どうが	douga
大事	おおごと|だいじ	oogoto|daiji
原因	げんいん	genninn
感想	かんそう	kannsou
開始	かいし	kaishi
保証	ほしょう	hoshou
展開	てんかい	tennkai
適用	てきよう	tekiyou
文字	もじ|もんじ	moji|monnji
場所	ばしょ	basho
活動	かつどう	katsudou
会社	かいしゃ|がいしゃ	kaisha|gaisha
決定	けってい	kettei
無理	むり	muri
登場	とうじょう	toujou
感謝	かんしゃ	kannsha
旅行	りょこう	ryokou
有効	ゆうこう	yuukou
今後	こんご	konngo
以上	いじょう	ijou
中古	ちゅうこ|ちゅうぶる	tyuuko|tyuuburu
禁止	きんし	kinnshi
価格	かかく	kakaku
様子	ようす	yousu
上記	じょうき	jouki
取得	しゅとく|とりえ	shutoku|torie
理由	りゆう	riyuu
昨日	きのう|さくじつ	kinou|sakujitsu
採用	さいよう	saiyou
最初	さいしょ	saisho
残念	ざんねん	zannnenn
発売	はつばい	hatsubai
方法	ほうほう	houhou
便利	べんり	bennri
機会	きかい	kikai
発送	はっそう	hassou
成功	せいこう	seikou
送料	そうりょう	souryou
承認	しょうにん	shouninn
保存	ほぞん	hozonn
表現	ひょうげん	hyougenn
提出	ていしゅつ	teishutsu
土地	とち	tochi
女性	じょせい|にょしょう	josei|nyoshou
映画	えいが	eiga
予想	よそう	yosou
元気	げんき	gennki
返品	へんぴん	hennpinn
料理	りょうり	ryouri
日記	にっき	nikki
変化	へんか|へんげ	hennka|hennge
想像	そうぞう	souzou
学校	がっこう	gakkou
新着	しんちゃく	shinntyaku
活用	かつよう	katsuyou
帰属	きぞく	kizoku
当然	とうぜん	touzenn
在庫	ざいこ	zaiko
提案	ていあん	teiann
時代	じだい	jidai
新築	しんちく	shinnchiku
効果	こうか	kouka
明日	あした|あす|みょうにち	ashita|asu|myounichi
天気	てんき	tennki
解決	かいけつ	kaiketsu
同意	どうい	doui
豊富	ほうふ	houfu
自然	しぜん|じねん	shizenn|jinenn
部分	ぶぶん	bubunn
構成	こうせい	kousei
体験	たいけん	taikenn
確保	かくほ	kakuho
雑誌	ざっし	zasshi
投票	とうひょう	touhyou
保護	ほご	hogo
相手	あいて	aite
反映	はんえい	hannei
準備	じゅんび	junnbi
参照	さんしょう	sannshou
大人	おとな|たいじん|だいにん|うし	otona|taijinn|daininn|ushi
担当	たんとう	tanntou
観光	かんこう	kannkou
自由	じゆう	jiyuu
拡大	かくだい	kakudai
完成	かんせい	kannsei
個人	こじん	kojinn
向上	こうじょう	koujou
展示	てんじ	tennji
修正	しゅうせい	shuusei
特集	とくしゅう	tokushuu
失敗	しっぱい	shippai
読者	どくしゃ	dokusha
事前	じぜん	jizenn
導入	どうにゅう	dounyuu
負担	ふたん	futann
位置	いち	ichi
放送	ほうそう	housou
記入	きにゅう	kinyuu
楽天	らくてん	rakutenn
人間	にんげん|じんかん	ninngenn|jinnkann
調査	ちょうさ	tyousa
家族	かぞく	kazoku
歴史	れきし	rekishi
管理	かんり	kannri
返信	へんしん	hennshinn
感動	かんどう	kanndou
形成	けいせい	keisei
本当	ほんとう|ほんと	honntou|honnto
満足	まんぞく	mannzoku
食事	しょくじ	shokuji
整備	せいび	seibi
料金	りょうきん	ryoukinn
印象	いんしょう	innshou
直接	ちょくせつ	tyokusetsu
安全	あんぜん	annzenn
認識	にんしき	ninnshiki
要望	ようぼう	youbou
指導	しどう	shidou
気分	きぶん	kibunn
文章	ぶんしょう	bunnshou
研究	けんきゅう	kennkyuu
季節	きせつ	kisetsu
発行	はっこう	hakkou
記録	きろく	kiroku
成長	せいちょう	seityou
有名	ゆうめい	yuumei
音楽	おんがく	onngaku
時期	じき	jiki
自信	じしん	jishinn
努力	どりょく	doryoku
沿線	えんせん	ennsenn
発展	はってん	hattenn
本日	ほんじつ	honnjitsu
意識	いしき	ishiki
主張	しゅちょう	shutyou
事実	じじつ	jijitsu
解除	かいじょ	kaijo
配信	はいしん	haishinn
特定	とくてい	tokutei
無効	むこう	mukou
適切	てきせつ	tekisetsu
通知	つうち	tsuuchi
収録	しゅうろく	shuuroku
美容	びよう	biyou
正確	せいかく	seikaku
疑問	ぎもん	gimonn
解説	かいせつ	kaisetsu
改善	かいぜん	kaizenn
法律	ほうりつ	houritsu
自身	じしん	jishinn
発揮	はっき	hakki
否定	ひてい	hitei
失礼	しつれい	shitsurei
練習	れんしゅう	rennshuu
出演	しゅつえん	shutsuenn
当店	とうてん	toutenn
用品	ようひん	youhinn
毎日	まいにち	mainichi
推進	すいしん	suishinn
新規	しんき	shinnki
受付	うけつけ	uketsuke
大阪	おおさか	oosaka
店名	てんめい	tennmei
旅館	りょかん	ryokann
社会	しゃかい	shakai
実感	じっかん	jikkann
不安	ふあん	fuann
時計	とけい|どけい	tokei|dokei
全部	ぜんぶ	zennbu
約束	やくそく	yakusoku
以前	いぜん	izenn
著者	ちょしゃ	tyosha
印刷	いんさつ	innsatsu
映像	えいぞう	eizou
種類	しゅるい	shurui
製造	せいぞう	seizou
許可	きょか	kyoka
英語	えいご	eigo
困難	こんなん	konnnann
保管	ほかん	hokann
設立	せつりつ	setsuritsu
京都	きょうと	kyouto
計画	けいかく	keikaku
絶対	ぜったい	zettai
演劇	えんげき	enngeki
納得	なっとく	nattoku
複数	ふくすう	fukusuu
地元	じもと	jimoto
本人	ほんにん	honnninn
家電	かでん	kadenn
成立	せいりつ	seiritsu
増加	ぞうか	zouka
営業	えいぎょう	eigyou
引用	いんよう	innyou
達成	たっせい	tassei
近所	きんじょ	kinnjo
資格	しかく	shikaku
都合	つごう	tsugou
中国	ちゅうこく	tyuukoku
番組	ばんぐみ	banngumi
路線	ろせん	rosenn
評判	ひょうばん	hyoubann
不明	ふめい	fumei
素敵	すてき	suteki
要求	ようきゅう	youkyuu
複製	ふくせい	fukusei
画面	がめん	gamenn
以外	いがい	igai
先生	せんせい	sennsei
集中	しゅうちゅう	shuutyuu
改正	かいせい	kaisei
返事	へんじ	hennji
馬鹿	ばか|ばかげ	baka|bakage
実行	じっこう	jikkou
目標	もくひょう	mokuhyou
通報	つうほう	tsuuhou
人生	じんせい	jinnsei
次回	じかい	jikai
大学	だいがく	daigaku
無視	むし	mushi
独自	どくじ	dokuji
計算	けいさん	keisann
役割	やくわり	yakuwari
誕生	たんじょう	tannjou
行動	こうどう	koudou
最高	さいこう	saikou
温泉	おんせん|いでゆ	onnsenn|ideyu
証明	しょうめい	shoumei
関心	かんしん	kannshinn
立場	たちば|たてば	tachiba|tateba
発言	はつげん	hatsugenn
批判	ひはん	hihann
試合	しあい|じあい|しあう	shiai|jiai|shiau
何人	なにびと|なんぴと|なんびと|なにじん|なんにん	nanibito|nannpito|nannbito|nanijinn|nannninn
制作	せいさく	seisaku
移転	いてん	itenn
沖縄	おきなわ	okinawa
教育	きょういく	kyouiku
勝手	かって|がって	katte|gatte
報道	ほうどう	houdou
法人	ほうじん	houjinn
現状	げんじょう	gennjou
全体	ぜんたい	zenntai
確立	かくりつ	kakuritsu
食品	しょくひん	shokuhinn
苦手	にがて	nigate
閉店	へいてん	heitenn
調子	ちょうし|ぢょうし	tyoushi|dyoushi
経済	けいざい	keizai
訪問	ほうもん	houmonn
病気	びょうき	byouki
当時	とうじ	touji
海外	かいがい	kaigai
開設	かいせつ	kaisetsu
拝見	はいけん	haikenn
明確	めいかく	meikaku
基本	きほん	kihonn
構築	こうちく	kouchiku
発信	はっしん	hasshinn
認定	にんてい	ninntei
技術	ぎじゅつ	gijutsu
医院	いいん	iinn
強調	きょうちょう	kyoutyou
損害	そんがい	sonngai
地球	ちきゅう	chikyuu
素材	そざい	sozai
強化	きょうか	kyouka
建設	けんせつ	kennsetsu
知識	ちしき	chishiki
課題	かだい	kadai
会場	かいじょう	kaijou
支持	しじ	shiji
特化	とっか	tokka
安定	あんてい	anntei
限定	げんてい	genntei
議論	ぎろん	gironn
電車	でんしゃ	dennsha
死亡	しぼう	shibou
時点	じてん	jitenn
想定	そうてい	soutei
今週	こんしゅう	konnshuu
資料	しりょう	shiryou
分類	ぶんるい	bunnrui
未来	みらい	mirai
区別	くべつ	kubetsu
中止	ちゅうし	tyuushi
前提	ぜんてい	zenntei
格安	かくやす	kakuyasu
共通	きょうつう	kyoutsuu
経過	けいか	keika
厳選	げんせん	gennsenn
事件	じけん	jikenn
判明	はんめい	hannmei
共有	きょうゆう	kyouyuu
礼金	れいきん	reikinn
受賞	じゅしょう	jushou
収集	しゅうしゅう	shuushuu
入手	にゅうしゅ	nyuushu
減少	げんしょう	gennshou
調整	ちょうせい	tyousei
空気	くうき	kuuki
同一	どういつ	douitsu
出席	しゅっせき	shusseki
記述	きじゅつ	kijutsu
提示	ていじ	teiji
学問	がくもん	gakumonn
宅配	たくはい	takuhai
設計	せっけい	sekkei
明記	めいき	meiki
出荷	しゅっか	shukka
点数	てんすう	tennsuu
低下	ていか	teika
条例	じょうれい	jourei
各号	かくごう	kakugou
整理	せいり	seiri
小説	しょうせつ	shousetsu
防止	ぼうし	boushi
配置	はいち	haichi
認証	にんしょう	ninnshou
公表	こうひょう	kouhyou
来店	らいてん	raitenn
基準	きじゅん	kijunn
優先	ゆうせん	yuusenn
出版	しゅっぱん	shuppann
住宅	じゅうたく	juutaku
設備	せつび	setsubi
復活	ふっかつ	fukkatsu
取材	しゅざい	shuzai
反応	はんのう	hannnou
所属	しょぞく	shozoku
総合	そうごう	sougou
放置	ほうち	houchi
代表	だいひょう	daihyou
記念	きねん	kinenn
見方	みかた	mikata
学生	がくせい	gakusei
表明	ひょうめい	hyoumei
刊行	かんこう	kannkou
見学	けんがく	kenngaku
処理	しょり	shori
規則	きそく	kisoku
原則	げんそく	gennsoku
同様	どうよう	douyou
対策	たいさく	taisaku
新聞	しんぶん	shinnbunn
国内	こくない	kokunai
金額	きんがく	kinngaku
職業	しょくぎょう	shokugyou
指示	しじ|さししめせ	shiji|sashishimese
最大	さいだい	saidai
医師	いし|くすし	ishi|kusushi
製品	せいひん	seihinn
相当	そうとう	soutou
駅名	えきめい	ekimei
反対	はんたい	hanntai
人物	じんぶつ	jinnbutsu
接続	せつぞく	setsuzoku
自宅	じたく	jitaku
苦労	くろう|ぐろう	kurou|gurou
省略	しょうりゃく	shouryaku
政治	せいじ	seiji
容易	ようい|たやす	youi|tayasu
経営	けいえい	keiei
演奏	えんそう	ennsou
家庭	かてい	katei
他人	たにん|ひと|びと	taninn|hito|bito
職種	しょくしゅ	shokushu
学習	がくしゅう	gakushuu
開示	かいじ	kaiji
歯科	しか	shika
公布	こうふ	koufu
各種	かくしゅ	kakushu
医者	いしゃ	isha
笑顔	えがお	egao
友人	ゆうじん	yuujinn
回復	かいふく	kaifuku
感心	かんしん	kannshinn
価値	かち	kachi
完全	かんぜん	kannzenn
今月	こんげつ	konngetsu
表情	ひょうじょう	hyoujou
解消	かいしょう	kaishou
事情	じじょう	jijou
結構	けっこう	kekkou
第一	だいいち	daiichi
背景	はいけい	haikei
割引	わりびき|わりびけ	waribiki|waribike
配送	はいそう	haisou
男性	だんせい	dannsei
観察	かんさつ	kannsatsu
得意	とくい	tokui
停止	ていし|ちょうじ	teishi|tyouji
合格	ごうかく	goukaku
工夫	くふう|こうふ	kufuu|koufu
支配	しはい	shihai
出品	しゅっぴん	shuppinn
過言	かごん|かげん	kagonn|kagenn
受信	じゅしん	jushinn
作業	さぎょう	sagyou
重視	じゅうし	juushi
制限	せいげん	seigenn
障害	しょうがい	shougai
不足	ふそく|ぶそく	fusoku|busoku
高校	こうこう	koukou
公式	こうしき	koushiki
出発	しゅっぱつ	shuppatsu
現実	げんじつ	gennjitsu
配布	はいふ	haifu
承知	しょうち	shouchi
将来	しょうらい	shourai
氏名	しめい	shimei
識別	しきべつ	shikibetsu
予告	よこく	yokoku
生産	せいさん	seisann
利益	りえき|りやく	rieki|riyaku
数字	すうじ	suuji
確信	かくしん	kakushinn
昨年	さくねん	sakunenn
上部	じょうぶ	joubu
再現	さいげん	saigenn
運転	うんてん	unntenn
事業	じぎょう	jigyou
類似	るいじ	ruiji
図表	ずひょう	zuhyou
専門	せんもん	sennmonn
左右	さゆう	sayuu
授業	じゅぎょう	jugyou
弁当	べんとう	benntou
取引	とりひき	torihiki
育成	いくせい	ikusei
理想	りそう	risou
支給	しきゅう	shikyuu
固定	こてい	kotei
正直	しょうじき	shoujiki
無断	むだん	mudann
辞書	じしょ	jisho
表記	ひょうき	hyouki
公共	こうきょう	koukyou
目安	めやす	meyasu
製作	せいさく	seisaku
教養	きょうよう	kyouyou
個別	こべつ	kobetsu
好評	こうひょう	kouhyou
危険	きけん	kikenn
卒業	そつぎょう	sotsugyou
身体	からだ|しんたい	karada|shinntai
権利	けんり	kennri
実績	じっせき	jisseki
通常	つうじょう	tsuujou
確定	かくてい	kakutei
出前	でまえ	demae
去年	きょねん|こぞ	kyonenn|kozo
優勝	ゆうしょう	yuushou
意外	いがい	igai
保有	ほゆう	hoyuu
金券	きんけん	kinnkenn
休日	きゅうじつ	kyuujitsu
修理	しゅうり|しゅり	shuuri|shuri
快適	かいてき	kaiteki
健全	けんぜん	kennzenn
洗練	せんれん	sennrenn
最適	さいてき	saiteki
今度	こんど	konndo
多数	たすう	tasuu
当日	とうじつ	toujitsu
貴重	きちょう	kityou
演出	えんしゅつ	ennshutsu
誤解	ごかい	gokai
地名	ちめい	chimei
祝日	しゅくじつ	shukujitsu
太陽	たいよう	taiyou
異常	いじょう	ijou
休業	きゅうぎょう	kyuugyou
先週	せんしゅう	sennshuu
交付	こうふ	koufu
移行	いこう	ikou
土産	みやげ|どさん	miyage|dosann
結論	けつろん	ketsuronn
外部	がいぶ	gaibu
限界	げんかい	gennkai
入荷	にゅうか	nyuuka
政令	せいれい	seirei
出場	しゅつじょう|でば	shutsujou|deba
文化	ぶんか	bunnka
会話	かいわ	kaiwa
追求	ついきゅう|おいもとめ	tsuikyuu|oimotome
来年	らいねん	rainenn
解放	かいほう	kaihou
加工	かこう	kakou
何故	なぜ|なにゆえ	naze|naniyue
交流	こうりゅう	kouryuu
前日	ぜんじつ|まえび	zennjitsu|maebi
老人	ろうじん	roujinn
組織	そしき	soshiki
速報	そくほう	sokuhou
本社	ほんしゃ	honnsha
市民	しみん	shiminn
建物	たてもの|たてもん	tatemono|tatemonn
食材	しょくざい	shokuzai
必死	ひっし	hisshi
自動	じどう	jidou
発明	はつめい	hatsumei
加入	かにゅう	kanyuu
国民	こくみん|くにたみ	kokuminn|kunitami
見解	けんかい	kennkai
上手	うわて|かみて|じょうず|うま|じょうて	uwate|kamite|jouzu|uma|joute
由来	ゆらい	yurai
所有	しょゆう	shoyuu
来場	らいじょう	raijou
値段	ねだん	nedann
翌日	よくじつ	yokujitsu
悪化	あっか	akka
書店	しょてん	shotenn
売買	ばいばい	baibai
従事	じゅうじ	juuji
送付	そうふ	soufu
半角	はんかく	hannkaku
事故	じこ	jiko
対処	たいしょ	taisho
散歩	さんぽ	sannpo
全文	ぜんぶん	zennbunn
空間	あきま|くうかん	akima|kuukann
推測	すいそく	suisoku
私達	わたしたち	watashitachi
無事	ぶじ	buji
就職	しゅうしょく	shuushoku
電子	でんし	dennshi
用語	ようご	yougo
業務	ぎょうむ	gyoumu
投資	とうし	toushi
定義	ていぎ	teigi
吸収	きゅうしゅう	kyuushuu
期間	きかん	kikann
身近	みぢか|みじか	midika|mijika
有無	うむ	umu
法令	ほうれい	hourei
夢中	むちゅう	mutyuu
検出	けんしゅつ	kennshutsu
視線	しせん	shisenn
面白	おもしろ	omoshiro
視点	してん	shitenn
本気	ほんき|まじ	honnki|maji
放映	ほうえい	houei
勝利	しょうり	shouri
視野	しや	shiya
連想	れんそう	rennsou
予感	よかん	yokann
結局	けっきょく	kekkyoku
加算	かさん	kasann
査定	さてい	satei
講演	こうえん	kouenn
帰宅	きたく	kitaku
当院	とういん	touinn
何回	なんかい	nannkai
通過	つうか|とおりすぎ	tsuuka|toorisugi
成果	せいか	seika
再生	さいせい	saisei
勤務	きんむ	kinnmu
不要	ふよう	fuyou
結成	けっせい	kessei
体調	たいちょう	taityou
混乱	こんらん	konnrann
確実	かくじつ	kakujitsu
入院	にゅういん	nyuuinn
看板	かんばん	kannbann
従前	じゅうぜん	juuzenn
倉庫	そうこ	souko
文句	もんく	monnku
宣言	せんげん	senngenn
布団	ふとん|ぶとん	futonn|butonn
再度	さいど	saido
銀行	ぎんこう	ginnkou
何卒	なにとぞ	nanitozo
運用	うんよう	unnyou
方針	ほうしん	houshinn
目次	もくじ	mokuji
何処	いずこ|どこ	izuko|doko
軽減	けいげん	keigenn
予算	よさん	yosann
再開	さいかい	saikai
定着	ていちゃく	teityaku
株式	かぶしき	kabushiki
規約	きやく	kiyaku
交通	こうつう	koutsuu
職員	しょくいん	shokuinn
費用	ひよう	hiyou
程度	ていど	teido
郵便	ゆうびん	yuubinn
追記	ついき	tsuiki
装備	そうび	soubi
感染	かんせん	kannsenn
主要	しゅよう	shuyou
先日	せんじつ	sennjitsu
出現	しゅつげん	shutsugenn
愛用	あいよう	aiyou
支障	ししょう	shishou
制定	せいてい	seitei
反省	はんせい	hannsei
従来	じゅうらい	juurai
予測	よそく	yosoku
進行	しんこう	shinnkou
推定	すいてい	suitei
余談	よだん	yodann
絵本	えほん	ehonn
特別	とくべつ	tokubetsu
準用	じゅんよう	junnyou
適当	てきとう	tekitou
検査	けんさ	kennsa
中身	なかみ	nakami
地点	ちてん	chitenn
特典	とくてん	tokutenn
相場	そうば	souba
測定	そくてい	sokutei
平和	へいわ	heiwa
就任	しゅうにん	shuuninn
基点	きてん	kitenn
入札	にゅうさつ	nyuusatsu
周囲	しゅうい	shuui
決意	けつい	ketsui
信用	しんよう	shinnyou
入会	にゅうかい|いりあい	nyuukai|iriai
動作	どうさ	dousa
講師	こうし|こうじ	koushi|kouji
美人	びじん|めいれん	bijinn|meirenn
現地	げんち	gennchi
勇気	ゆうき	yuuki
業界	ぎょうかい	gyoukai
能力	のうりょく	nouryoku
進化	しんか	shinnka
次第	しだい	shidai
前回	ぜんかい	zennkai
短期	たんき	tannki
題材	だいざい	daizai
加減	かげん	kagenn
決済	けっさい	kessai
保険	ほけん	hokenn
加盟	かめい	kamei
見事	みごと	migoto
講座	こうざ	kouza
町名	ちょうめい	tyoumei
秘密	ひみつ	himitsu
貸家	かしや	kashiya
手元	てもと	temoto
連動	れんどう	renndou
神社	じんじゃ|かむやしろ	jinnja|kamuyashiro
感覚	かんかく	kannkaku
手紙	てがみ	tegami
手帳	てちょう	tetyou
家賃	やちん	yachinn
階段	かいだん	kaidann
本書	ほんしょ	honnsho
操作	そうさ	sousa
物語	ものがたり|ものがた	monogatari|monogata
分野	ぶんや	bunnya
算出	さんしゅつ	sannshutsu
推移	すいい|おしうつ	suii|oshiutsu
重複	じゅうふく|ちょうふく	juufuku|tyoufuku
方向	ほうこう	houkou
殺害	さつがい|せつがい	satsugai|setsugai
形式	けいしき	keishiki
小物	こもの	komono
本来	ほんらい	honnrai
会議	かいぎ	kaigi
品質	ひんしつ	hinnshitsu
戦争	せんそう	sennsou
宣伝	せんでん	senndenn
世話	せわ|ぜわ	sewa|zewa
現場	げんじょう|げんば	gennjou|gennba
新刊	しんかん	shinnkann
出産	しゅっさん	shussann
予防	よぼう	yobou
尊敬	そんけい	sonnkei
事務	じむ	jimu
計上	けいじょう	keijou
単語	たんご	tanngo
実家	じっか	jikka
処分	しょぶん	shobunn
事態	じたい	jitai
科学	かがく|かがっ	kagaku|kagaxtu
運行	うんこう	unnkou
統一	とういつ	touitsu
直面	ちょくめん	tyokumenn
業種	ぎょうしゅ	gyoushu
通勤	つうきん	tsuukinn
出張	しゅっちょう|でば	shuttyou|deba
通信	つうしん	tsuushinn
正解	せいかい	seikai
投入	とうにゅう	tounyuu
重点	じゅうてん	juutenn
教室	きょうしつ	kyoushitsu
保持	ほじ	hoji
日中	にっちゅう|ひなか	nittyuu|hinaka
社長	しゃちょう	shatyou
活発	かっぱつ	kappatsu
機器	きき	kiki
大勢	おおぜい|たいせい|たいぜい	oozei|taisei|taizei
選出	せんしゅつ	sennshutsu
出店	しゅってん|でみせ	shuttenn|demise
主体	しゅたい	shutai
自覚	じかく	jikaku
本作	ほんさく	honnsaku
芸能	げいのう	geinou
統計	とうけい	toukei
手術	しゅじゅつ	shujutsu
文具	ぶんぐ	bunngu
保障	ほしょう	hoshou
野菜	やさい	yasai
育児	いくじ	ikuji
通用	つうよう	tsuuyou
供給	きょうきゅう	kyoukyuu
作者	さくしゃ	sakusha
収納	しゅうのう	shuunou
起算	きさん	kisann
配合	はいごう	haigou
専用	せんよう	sennyou
事例	じれい	jirei
毎年	まいとし|まいねん	maitoshi|mainenn
容疑	ようぎ	yougi
採点	さいてん	saitenn
連続	れんぞく	rennzoku
要素	ようそ	youso
検定	けんてい	kenntei
正常	せいじょう	seijou
受験	じゅけん	jukenn
和食	わしょく	washoku
主流	しゅりゅう	shuryuu
自己	じこ	jiko
空港	くうこう	kuukou
危機	きき	kiki
各社	かくしゃ	kakusha
完売	かんばい	kannbai
発達	はったつ	hattatsu
経由	けいゆ	keiyu
持参	じさん	jisann
装着	そうちゃく	soutyaku
開放	かいほう	kaihou
意向	いこう	ikou
生成	せいせい	seisei
入学	にゅうがく	nyuugaku
進学	しんがく	shinngaku
策定	さくてい	sakutei
飲料	いんりょう|のみりょう	innryou|nomiryou
建立	こんりゅう	konnryuu
加筆	かひつ	kahitsu
風景	ふうけい	fuukei
独立	どくりつ	dokuritsu
痛感	つうかん	tsuukann
尊重	そんちょう	sonntyou
転用	てんよう	tennyou
全力	ぜんりょく	zennryoku
任意	にんい	ninni
発足	はっそく|ほっそく	hassoku|hossoku
変動	へんどう	henndou
件数	けんすう	kennsuu
警察	けいさつ	keisatsu
何事	なにごと	nanigoto
背中	せなか	senaka
中断	ちゅうだん	tyuudann
買取	かいとり|かいと	kaitori|kaito
付属	ふぞく	fuzoku
復元	ふくげん	fukugenn
合意	ごうい	goui
検証	けんしょう	kennshou
最寄	もより	moyori
進出	しんしゅつ	shinnshutsu
細心	さいしん	saishinn
散策	さんさく	sannsaku
午後	ごご	gogo
冷静	れいせい	reisei
素直	すなお	sunao
王国	おうこく	oukoku
定番	ていばん	teibann
着物	きもの	kimono
香水	こうすい	kousui
新設	しんせつ	shinnsetsu
生息	せいそく	seisoku
新型	しんがた	shinngata
適正	てきせい	tekisei
動物	どうぶつ	doubutsu
生徒	せいと	seito
職場	しょくば	shokuba
手段	しゅだん	shudann
選手	せんしゅ	sennshu
市長	しちょう	shityou
配達	はいたつ	haitatsu
梅雨	つゆ|ばいう|づゆ	tsuyu|baiu|duyu
日刊	にっかん	nikkann
紅葉	こうよう|もみじ	kouyou|momiji
荷物	にもつ	nimotsu
順調	じゅんちょう	junntyou
親切	しんせつ	shinnsetsu
工具	こうぐ	kougu
夕方	ゆうがた	yuugata
日常	にちじょう	nichijou
音声	おんせい|おんじょう	onnsei|onnjou
漢字	かんじ	kannji
歌詞	かし	kashi
除去	じょきょ	jokyo
建築	けんちく	kennchiku
適合	てきごう	tekigou
店内	てんない	tennnai
新年	しんねん	shinnnenn
余計	よけい	yokei
大量	たいりょう	tairyou
高速	こうそく	kousoku
薬局	やっきょく	yakkyoku
相性	あいしょう|そうしょう	aishou|soushou
生命	いのち|せいめい	inochi|seimei
順位	じゅんい	junni
解明	かいめい	kaimei
日付	ひづけ	hiduke
商標	しょうひょう	shouhyou
声優	せいゆう	seiyuu
雑貨	ざっか	zakka
集計	しゅうけい	shuukei
大会	たいかい|だいえ	taikai|daie
手配	てはい	tehai
基調	きちょう	kityou
特性	とくせい	tokusei
起動	きどう	kidou
定評	ていひょう	teihyou
工事	こうじ	kouji
常識	じょうしき	joushiki
団体	だんたい	danntai
現代	げんだい	genndai
文庫	ぶんこ	bunnko
回収	かいしゅう	kaishuu
可決	かけつ	kaketsu
公園	こうえん	kouenn
受講	じゅこう	jukou
招待	しょうたい	shoutai
埼玉	さいたま	saitama
真似	まね	mane
原料	げんりょう	gennryou
義務	ぎむ	gimu
前述	ぜんじゅつ	zennjutsu
選定	せんてい	senntei
存分	ぞんぶん	zonnbunn
非難	ひなん	hinann
性格	せいかく	seikaku
模様	もよう	moyou
祝福	しゅくふく	shukufuku
家具	かぐ	kagu
開業	かいぎょう	kaigyou
